X	Y	Z	RotX	RotY	RotZ	XDt	YDt	ZDt	RotXDt	RotYDt	RotZDt
0.012747	-0.098132	0.30559	-0.054125	0.077973	-0.032937	0.0041219	-0.019654	0.037705	0.024225	-0.0037047	-0.012486
0.0072236	-0.098283	0.31864	-0.12393	0.099387	-0.025368	-0.0055233	-0.00015131	0.013056	-0.069802	0.021414	0.0075692
0.01147	-0.088976	0.32033	-0.065676	0.094108	-0.029773	0.0042468	0.0093076	0.0016812	0.058251	-0.0052796	-0.0044044
0.00022559	-0.097014	0.29506	-0.092639	0.090676	-0.026917	-0.011245	-0.0080379	-0.025265	-0.026962	-0.0034317	0.0028558
0.0039598	-0.086263	0.28889	-0.05501	0.096918	-0.026567	0.0037343	0.01075	-0.0061689	0.037629	0.006242	0.00034966
0.0008346	-0.10071	0.25564	-0.061603	0.089898	-0.033375	-0.0031252	-0.014444	-0.033256	-0.0065933	-0.0070202	-0.0068079
0.0012035	-0.090906	0.27374	-0.068344	0.10099	-0.026725	0.0003689	0.0098017	0.018106	-0.0067406	0.011096	0.0066498
0.001683	-0.095199	0.26641	-0.076547	0.10466	-0.025068	0.00047948	-0.0042927	-0.0073319	-0.0082029	0.0036688	0.001657
-0.0045951	-0.09946	0.28294	-0.084593	0.10595	-0.020125	-0.0062781	-0.0042616	0.016526	-0.0080466	0.0012868	0.004943
-0.0030222	-0.096454	0.2764	-0.085008	0.11198	-0.019024	0.0015729	0.0030066	-0.0065307	-0.00041448	0.0060354	0.0011017
-0.0068333	-0.10112	0.28678	-0.077785	0.11412	-0.025451	-0.0038111	-0.0046661	0.010371	0.0072232	0.0021391	-0.006427
-0.00018213	-0.094168	0.26876	-0.065141	0.1107	-0.025899	0.0066512	0.0069516	-0.018018	0.012644	-0.0034273	-0.00044844
-0.0013698	-0.097477	0.27783	-0.069871	0.10481	-0.02566	-0.0011876	-0.0033087	0.0090751	-0.0047303	-0.0058879	0.00023877
-0.0035341	-0.099284	0.25489	-0.06768	0.1045	-0.025635	-0.0021644	-0.001807	-0.022944	0.002191	-0.00030397	2.5523e-05
-0.006303	-0.08502	0.2538	-0.07899	0.10328	-0.037868	-0.0027689	0.014264	-0.0010879	-0.01131	-0.0012231	-0.012233
0.0023484	-0.088884	0.25874	-0.083637	0.1193	-0.036482	0.0086514	-0.0038648	0.0049397	-0.0046464	0.016019	0.0013861
0.010001	-0.089625	0.25727	-0.10234	0.12967	-0.038309	0.0076522	-0.00074103	-0.0014688	-0.018702	0.010374	-0.0018275
0.037165	-0.10436	0.26558	-0.12602	0.14238	-0.0052337	0.027164	-0.014737	0.0083046	-0.023682	0.012708	0.033076
0.030851	-0.12008	0.27026	-0.1379	0.1588	0.0034959	-0.006314	-0.015715	0.0046837	-0.011877	0.016414	0.0087296
0.058099	-0.11683	0.27254	-0.15885	0.17579	0.021892	0.027248	0.0032481	0.0022763	-0.020955	0.016989	0.018396
0.047389	-0.12017	0.29176	-0.15196	0.19152	0.011843	-0.010711	-0.0033396	0.019225	0.0068956	0.015737	-0.010049
0.043822	-0.11449	0.29444	-0.15595	0.17801	-0.010508	-0.0035669	0.0056835	0.0026829	-0.0039939	-0.013514	-0.022351
0.0046509	-0.11398	0.30943	-0.157	0.17043	-0.04384	-0.039171	0.00050467	0.014984	-0.001049	-0.0075805	-0.033332
-0.045718	-0.11302	0.30767	-0.14782	0.12007	-0.10193	-0.050369	0.00095773	-0.0017628	0.0091767	-0.050354	-0.05809
-0.07801	-0.11666	0.32455	-0.17718	0.13125	-0.13449	-0.032292	-0.0036329	0.016889	-0.029359	0.011174	-0.032559
-0.10796	-0.11513	0.31825	-0.17921	0.099851	-0.1576	-0.029945	0.0015306	-0.0063023	-0.0020315	-0.031397	-0.023113
-0.11127	-0.12019	0.3114	-0.20195	0.11059	-0.16589	-0.0033152	-0.0050623	-0.0068512	-0.022735	0.010736	-0.0082842
-0.11309	-0.11042	0.30557	-0.19808	0.11053	-0.15346	-0.001818	0.0097667	-0.0058329	0.0038642	-5.5828e-05	0.01243
-0.10092	-0.1233	0.30463	-0.2045	0.12246	-0.15281	0.012166	-0.01288	-0.00093742	-0.006412	0.011924	0.00064259
-0.057385	-0.099555	0.28087	-0.21757	0.1434	-0.11794	0.043538	0.023746	-0.023758	-0.01307	0.020944	0.034871
-0.044065	-0.11554	0.27761	-0.2308	0.15997	-0.097507	0.01332	-0.015984	-0.0032614	-0.013234	0.016571	0.020436
-0.010296	-0.10126	0.20784	-0.23191	0.1605	-0.075793	0.03377	0.014281	-0.069768	-0.0011086	0.00052753	0.021714
-0.025679	-0.1097	0.2213	-0.21571	0.18301	-0.066909	-0.015383	-0.008442	0.013452	0.016201	0.022514	0.0088839
-0.024976	-0.13551	0.22743	-0.21989	0.18993	-0.063229	0.00070245	-0.025812	0.0061369	-0.0041833	0.0069157	0.0036797
-0.029195	-0.13622	0.2446	-0.22438	0.19886	-0.052636	-0.0042187	-0.00071144	0.017163	-0.0044859	0.0089327	0.010593
-0.030746	-0.16715	0.28351	-0.25139	0.20796	-0.042346	-0.0015506	-0.030927	0.03891	-0.027009	0.0090964	0.01029
-0.026843	-0.14208	0.24571	-0.25852	0.20616	-0.036451	0.0039026	0.025067	-0.037795	-0.0071374	-0.0017982	0.0058955
-0.022099	-0.15381	0.25901	-0.24125	0.20025	-0.024472	0.0047442	-0.011729	0.013302	0.017274	-0.0059055	0.011978
-0.019716	-0.14016	0.24216	-0.24238	0.20391	-0.016217	0.0023831	0.013648	-0.016853	-0.0011336	0.0036565	0.0082553
-0.012315	-0.17573	0.25254	-0.21825	0.17938	-0.007747	0.0074008	-0.035569	0.010381	0.024129	-0.024527	0.00847
-0.01563	-0.14149	0.25423	-0.24817	0.1963	0.0038323	-0.0033153	0.034247	0.0016877	-0.029916	0.016917	0.011579
-0.018669	-0.1616	0.26259	-0.23767	0.19397	-0.001433	-0.0030393	-0.020111	0.0083608	0.010496	-0.0023289	-0.0052653
-0.027419	-0.13668	0.24546	-0.25263	0.20505	0.0046674	-0.0087492	0.024915	-0.017126	-0.014961	0.011081	0.0061004
-0.033018	-0.16573	0.25156	-0.23596	0.21389	-0.0019761	-0.0055992	-0.029049	0.0060986	0.016669	0.0088383	-0.0066436
-0.038239	-0.15079	0.23359	-0.24524	0.21422	0.0011229	-0.0052211	0.014945	-0.017969	-0.0092738	0.00032609	0.003099
-0.041877	-0.15121	0.25459	-0.2451	0.22182	-0.0041588	-0.0036383	-0.00041962	0.021	0.00014206	0.0076049	-0.0052817
-0.042403	-0.1468	0.26584	-0.23926	0.22165	-0.0032727	-0.0005253	0.0044044	0.011242	0.0058379	-0.00017028	0.00088606
-0.043664	-0.16663	0.28216	-0.24593	0.22087	-0.011001	-0.0012611	-0.019827	0.016326	-0.0066741	-0.00077554	-0.0077278
-0.038628	-0.16128	0.28391	-0.22965	0.22222	-0.0043752	0.0050354	0.0053526	0.0017428	0.016285	0.0013476	0.0066253
-0.037237	-0.17006	0.28545	-0.25172	0.22088	-0.0066591	0.0013916	-0.0087804	0.0015394	-0.022077	-0.0013443	-0.0022839
-0.037843	-0.15274	0.28194	-0.24968	0.22763	-0.0071732	-0.00060652	0.017317	-0.0035048	0.0020439	0.0067527	-0.00051406
-0.037859	-0.1663	0.2752	-0.25934	0.22224	-0.011723	-1.5875e-05	-0.013564	-0.0067402	-0.0096637	-0.0053886	-0.0045493
-0.042144	-0.17013	0.26077	-0.26479	0.22921	-0.0115	-0.0042854	-0.0038258	-0.014425	-0.0054485	0.0069641	0.00022274
-0.034912	-0.16253	0.249	-0.26223	0.22133	-0.0085297	0.007232	0.0076055	-0.011773	0.0025665	-0.0078758	0.00297
-0.035052	-0.18389	0.24632	-0.2654	0.22199	0.0015055	-0.00013903	-0.021366	-0.0026818	-0.0031775	0.00065615	0.010035
-0.030182	-0.17842	0.26184	-0.25999	0.22144	-0.0025644	0.0048692	0.0054728	0.015519	0.0054148	-0.00054697	-0.0040699
-0.028418	-0.18428	0.26059	-0.26578	0.2227	0.00025771	0.0017643	-0.0058598	-0.0012497	-0.0057911	0.0012576	0.0028221
-0.026711	-0.18697	0.26669	-0.25778	0.22642	-0.0026331	0.0017069	-0.0026941	0.0060972	0.0080022	0.0037232	-0.0028908
-0.026552	-0.18536	0.26632	-0.25688	0.22525	-0.0049347	0.0001588	0.0016171	-0.00036442	0.00089761	-0.0011656	-0.0023016
-0.023035	-0.18756	0.24491	-0.25422	0.2237	-0.010746	0.0035175	-0.0022058	-0.021408	0.0026646	-0.0015539	-0.0058117
-0.031932	-0.19076	0.25729	-0.2553	0.22169	-0.015249	-0.0088969	-0.0032023	0.01238	-0.0010803	-0.0020071	-0.0045024
-0.027812	-0.18561	0.24026	-0.26029	0.23036	-0.022933	0.0041201	0.0051562	-0.01703	-0.0049927	0.0086674	-0.0076841
-0.022937	-0.18059	0.24472	-0.25708	0.22898	-0.0099488	0.0048741	0.0050179	0.0044535	0.0032055	-0.0013824	0.012984
-0.01785	-0.19198	0.25235	-0.25154	0.23792	-0.0096238	0.0050874	-0.011393	0.0076283	0.0055473	0.0089441	0.000325
-0.0017758	-0.18336	0.24453	-0.24811	0.23261	-0.0077603	0.016074	0.0086199	-0.0078168	0.0034223	-0.0053167	0.0018634
-0.01496	-0.19483	0.2486	-0.25486	0.23277	-0.010059	-0.013184	-0.011468	0.0040658	-0.0067506	0.00016734	-0.0022989
-0.010453	-0.18719	0.24087	-0.24869	0.23098	-0.019969	0.004507	0.007643	-0.0077258	0.0061787	-0.0017913	-0.0099093
-0.018823	-0.19742	0.24251	-0.25917	0.22851	-0.016655	-0.0083702	-0.010232	0.0016406	-0.010488	-0.0024694	0.0033133
-0.019811	-0.19922	0.2348	-0.25288	0.22924	-0.017542	-0.00098814	-0.0018054	-0.0077103	0.0062956	0.00072824	-0.00088708
-0.018664	-0.21426	0.24889	-0.25617	0.23624	-0.019724	0.001147	-0.015035	0.014086	-0.0032916	0.0069978	-0.0021813
-0.031309	-0.20644	0.2333	-0.25978	0.24019	-0.015202	-0.012645	0.0078147	-0.015583	-0.0036097	0.0039528	0.0045216
-0.032591	-0.20956	0.24208	-0.2558	0.24467	-0.018757	-0.0012819	-0.0031193	0.0087784	0.0039828	0.0044789	-0.0035552
-0.039461	-0.20847	0.24454	-0.26819	0.24631	-0.014783	-0.0068701	0.001094	0.0024571	-0.012393	0.0016425	0.0039741
-0.038783	-0.22353	0.24402	-0.26523	0.2472	-0.018128	0.00067878	-0.015057	-0.00052	0.0029648	0.00089177	-0.0033447
-0.039261	-0.21684	0.25576	-0.28296	0.25288	-0.016292	-0.00047888	0.0066893	0.011747	-0.01773	0.0056784	0.0018355
-0.034709	-0.22788	0.25368	-0.27574	0.25533	-0.017586	0.0045522	-0.011042	-0.0020801	0.0072176	0.0024468	-0.0012935
-0.036392	-0.22422	0.26239	-0.28548	0.2595	-0.018192	-0.0016831	0.0036591	0.0087065	-0.0097436	0.0041746	-0.00060623
-0.022286	-0.23035	0.25976	-0.27799	0.25659	-0.017202	0.014106	-0.0061313	-0.0026286	0.0074927	-0.0029106	0.00099052
-0.028401	-0.24457	0.26602	-0.28734	0.26566	-0.020628	-0.0061144	-0.014213	0.0062566	-0.0093482	0.0090672	-0.0034265
-0.030028	-0.22399	0.24172	-0.28277	0.24	-0.024194	-0.0016268	0.02058	-0.0243	0.0045625	-0.025657	-0.0035656
-0.023461	-0.24164	0.25917	-0.3098	0.26409	-0.006817	0.0065667	-0.017651	0.017456	-0.027022	0.024089	0.017377
-0.024078	-0.24565	0.25429	-0.31621	0.26345	-0.0069214	-0.00061655	-0.0040186	-0.0048873	-0.0064164	-0.00064354	-0.00010437
0.01235	-0.25805	0.26639	-0.36097	0.31818	0.038308	0.036427	-0.012395	0.012098	-0.04476	0.054726	0.04523
0.0084211	-0.27033	0.26851	-0.36419	0.33016	0.030338	-0.0039287	-0.012281	0.002124	-0.0032164	0.01198	-0.0079702
0.0060892	-0.255	0.25412	-0.37448	0.3375	0.043111	-0.0023318	0.015329	-0.014394	-0.010291	0.0073459	0.012773
-0.0093833	-0.24481	0.2428	-0.34498	0.31536	0.019711	-0.015473	0.01019	-0.011317	0.029505	-0.022147	-0.0234
-0.031586	-0.23868	0.24143	-0.33592	0.31119	0.0096577	-0.022202	0.0061276	-0.0013668	0.0090578	-0.0041698	-0.010053
-0.028965	-0.23486	0.22225	-0.30689	0.29539	0.0015573	0.0026202	0.0038251	-0.019182	0.029032	-0.015796	-0.0081004
-0.037056	-0.24478	0.22622	-0.32003	0.2977	0.00072457	-0.0080904	-0.0099255	0.0039658	-0.013141	0.0023148	-0.00083276
-0.03859	-0.25102	0.21268	-0.31237	0.29176	-0.0045693	-0.0015344	-0.0062311	-0.013539	0.0076608	-0.0059402	-0.0052939
-0.042259	-0.26039	0.22461	-0.30649	0.279	-0.010733	-0.0036686	-0.0093779	0.01193	0.0058728	-0.012768	-0.0061636
-0.057922	-0.27226	0.22391	-0.32056	0.28839	-0.02514	-0.015663	-0.011863	-0.00069244	-0.014067	0.0093914	-0.014407
-0.080195	-0.23275	0.23661	-0.31456	0.25677	-0.042815	-0.022273	0.039503	0.012693	0.0060034	-0.03162	-0.017675
-0.099865	-0.25336	0.24273	-0.36761	0.2609	-0.065762	-0.01967	-0.020608	0.0061204	-0.053053	0.00413	-0.022947
-0.12473	-0.27263	0.21389	-0.35889	0.24466	-0.071782	-0.024864	-0.019263	-0.02884	0.0087235	-0.016238	-0.0060198
-0.10754	-0.36319	0.23433	-0.36438	0.23615	-0.075322	0.017188	-0.090565	0.020438	-0.0054976	-0.008505	-0.00354
-0.094664	-0.44225	0.18258	-0.31683	0.23829	-0.033084	0.012877	-0.079056	-0.05175	0.047557	0.0021345	0.042238
-0.053073	-0.36049	0.20865	-0.30997	0.20927	-0.0047225	0.041591	0.081755	0.026076	0.0068601	-0.02902	0.028362
-0.029779	-0.31006	0.18498	-0.29269	0.21213	0.042197	0.023294	0.050431	-0.023676	0.017279	0.0028614	0.046919
-0.019848	-0.23722	0.21761	-0.31551	0.2052	0.042825	0.0099313	0.07284	0.032635	-0.02282	-0.0069301	0.00062839
-0.019055	-0.23771	0.21973	-0.29989	0.21505	0.04303	0.00079298	-0.00049026	0.0021163	0.01562	0.009852	0.00020476
-0.036254	-0.27874	0.24122	-0.35399	0.24064	0.032681	-0.0172	-0.041032	0.021497	-0.054099	0.025593	-0.010349
-0.041399	-0.21879	0.20005	-0.33312	0.24047	0.037217	-0.0051448	0.059949	-0.041175	0.020868	-0.00017148	0.0045355
-0.055239	-0.23411	0.17849	-0.38946	0.25635	0.045366	-0.01384	-0.015316	-0.02156	-0.056342	0.015878	0.0081489
-0.050514	-0.21047	0.14079	-0.33811	0.237	0.05136	0.0047254	0.023636	-0.037701	0.051354	-0.019349	0.0059949
-0.055591	-0.2486	0.14791	-0.35547	0.23968	0.052249	-0.0050771	-0.03813	0.0071195	-0.017361	0.0026807	0.00088824
-0.053849	-0.23442	0.17334	-0.34154	0.23602	0.052403	0.0017417	0.014183	0.025429	0.013932	-0.0036574	0.00015456
